wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,terraA,terraA,floor,floor,floor,floor,floor,floor,floor,floor,npc(signA),floor,floor,floor,floor,wall
wall,floor,terraA,terraA,terraA,terraA,terraA,floor,floor,floor,floor,floor,floor,floor,floor,town(Meri),floor,floor,wall
wall,floor,floor,wall,terraA,terraA,terraA,terraA,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,wall,wall,terraA,terraA,terraA,terraA,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,floor,wall,wall,terraA,terraA,terraA,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,floor,wall,wall,terraA,terraA,terraA,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,floor,floor,wall,wall,terraA,terraA,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,floor,town(hidVilla),floor,wall,terraA,terraA,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,floor,floor,floor,wall,wall,terraA,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,floor,floor,wall,wall,wall,terraA,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,floor,wall,wall,wall,terraA,terraA,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,wall,wall,terraA,terraA,terraA,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,terraA,terraA,terraA,terraA,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
